"ID","SEX","D.O.B","MONITOR.START.YEAR","MONITOR.START.YR","MONITOR.END.YEAR","MONITOR.END.YR","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","AGE.CLASS.DEATH","CATEGORY.DEATH","FATE","CENSUS.STATUS","AGE.MET","MOTHER.AGE.CLASS.LITTER","SURVIVED.24"
413,"FEMALE","01/03/2006","01/03/2006",2006,"01/01/2015",2015,0,"CUB","FEMALE_CUB",106,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
414,"FEMALE","01/09/2008","01/09/2008",2008,"01/01/2015",2015,0,"CUB","FEMALE_CUB",76,24,"ADULT_72_84","FEMALE_ADULT_72_84","CENSORED",0,0,"ADULT_84",1
419,"MALE","01/06/2012","01/06/2012",2012,"01/09/2014",2014,0,"CUB","MALE_CUB",27,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
420,"MALE","01/07/1997","01/07/1997",1997,"01/01/2000",2000,0,"CUB","MALE_CUB",30,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_36_48",1
421,"MALE","01/10/2000","01/10/2000",2000,"01/12/2002",2002,0,"CUB","MALE_CUB",26,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
422,"FEMALE","01/10/2000","01/10/2000",2000,"01/01/2015",2015,0,"CUB","FEMALE_CUB",171,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
424,"MALE","01/04/2003","01/04/2003",2003,"01/12/2011",2011,0,"CUB","MALE_CUB",104,24,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
426,"MALE","01/12/2005","01/12/2005",2005,"01/06/2007",2007,0,"CUB","MALE_CUB",18,18,"JUVENILE","MALE_JUVENILE","MORTALITY",1,1,"ADULT_84",0
427,"MALE","01/12/2008","01/12/2008",2008,"01/05/2011",2011,0,"CUB","MALE_CUB",29,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
438,"FEMALE","01/01/2009","01/01/2009",2009,"01/12/2013",2013,0,"CUB","FEMALE_CUB",59,24,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,0,"ADULT_72_84",1
439,"FEMALE","01/01/2009","01/01/2009",2009,"01/01/2015",2015,0,"CUB","FEMALE_CUB",72,24,"ADULT_60_72","FEMALE_ADULT_60_72","CENSORED",0,0,"ADULT_72_84",1
440,"MALE","01/06/2010","01/06/2010",2010,"01/01/2015",2015,0,"CUB","MALE_CUB",55,24,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,0,"ADULT_84",1
441,"FEMALE","01/02/2012","01/02/2012",2012,"01/04/2014",2014,0,"CUB","FEMALE_CUB",26,24,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
442,"MALE","01/02/2012","01/02/2012",2012,"01/07/2014",2014,0,"CUB","MALE_CUB",29,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
460,"MALE","01/07/1986","01/07/1986",1986,"01/06/1998",1998,0,"CUB","MALE_CUB",143,24,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"ADULT_48_60",1
462,"MALE","01/11/2001","01/11/2001",2001,"01/12/2003",2003,0,"CUB","MALE_CUB",25,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"SUBADULT",1
463,"MALE","01/11/2001","01/11/2001",2001,"01/12/2003",2003,0,"CUB","MALE_CUB",25,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"SUBADULT",1
469,"FEMALE","01/11/2006","01/11/2006",2006,"01/07/2011",2011,0,"CUB","FEMALE_CUB",56,24,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,0,"ADULT_84",1
475,"MALE","01/01/2010","01/01/2010",2010,"01/01/2015",2015,0,"CUB","MALE_CUB",60,24,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,0,"ADULT_84",1
